sampleID,genet,day,trt,trt_genet,fvfm
G19,G,5,HH,HH_G,0.572
H34,H,5,HH,HH_H,0.558
I20,I,5,HH,HH_I,0.55
J01,J,5,HH,HH_J,0.601
C25,C,5,HL,HL_C,0.529
D34,D,5,HL,HL_D,0.571
E33,E,5,HL,HL_E,0.499
F20,F,5,HL,HL_F,0.576
G02,G,5,HL,HL_G,0.542
H19,H,5,HL,HL_H,0.566
I26,I,5,HL,HL_I,0.528
J08,J,5,HL,HL_J,0.543
C12,C,5,LH,LH_C,0.56
D30,D,5,LH,LH_D,0.562
E36,E,5,LH,LH_E,0.556
F02,F,5,LH,LH_F,0.498
G14,G,5,LH,LH_G,0.593
H30,H,5,LH,LH_H,0.527
I33,I,5,LH,LH_I,0.456
J02,J,5,LH,LH_J,0.582
C14,C,5,LL,LL_C,0.573
D06,D,5,LL,LL_D,0.542
E04,E,5,LL,LL_E,0.564
F12,F,5,LL,LL_F,0.575
G29,G,5,LL,LL_G,0.559
H10,H,5,LL,LL_H,0.511
I19,I,5,LL,LL_I,0.46
J25,J,5,LL,LL_J,0.548
C36,C,5,U,U_C,0.523
D2W,D,5,U,U_D,0.519
E10,E,5,U,U_E,0.55
F18,F,5,U,U_F,0.579
G09,G,5,U,U_G,0.537
H20,H,5,U,U_H,0.557
I39,I,5,U,U_I,0.456
J16,J,5,U,U_J,0.525
C36,C,10,C,C_C,0.555
D12,D,10,C,C_D,0.563
E10,E,10,C,C_E,0.576
F22,F,10,C,C_F,0.598
G28,G,10,C,C_G,0.605
H11,H,10,C,C_H,0.571
I09,I,10,C,C_I,0.493
J14,J,10,C,C_J,0.594
C28,C,10,HH,HH_C,0.575
D09,D,10,HH,HH_D,0.547
E3W,E,10,HH,HH_E,0.599
FX,F,10,HH,HH_F,0
GX,G,10,HH,HH_G,0
H34,H,10,HH,HH_H,0.542
I20,I,10,HH,HH_I,0.509
JX,J,10,HH,HH_J,0
C33,C,10,HL,HL_C,0.6
D27,D,10,HL,HL_D,0.554
E33,E,10,HL,HL_E,0.547
F26,F,10,HL,HL_F,0.601
G02,G,10,HL,HL_G,0.587
H33,H,10,HL,HL_H,0.559
I26,I,10,HL,HL_I,0.469
J08,J,10,HL,HL_J,0.553
C09,C,10,LH,LH_C,0.597
D18,D,10,LH,LH_D,0.603
E13O,E,10,LH,LH_E,0.575
F19,F,10,LH,LH_F,0.604
G14,G,10,LH,LH_G,0.622
H30,H,10,LH,LH_H,0.551
I27,I,10,LH,LH_I,0.517
J02,J,10,LH,LH_J,0.582
C13,C,10,LL,LL_C,0.582
D08,D,10,LL,LL_D,0.556
E35,E,10,LL,LL_E,0.551
F11,F,10,LL,LL_F,0.592
G29,G,10,LL,LL_G,0.599
H10,H,10,LL,LL_H,0.546
